DESIGN	?? Is there any way to check for invalid input? Valid input includes ?? at least any printable character but could it also include unprintable ?? characters?
DESIGN	?? Need to associate a panel with an object type somehow
DESIGN	??? bad to have release hardocoded here Fix laterright
DESIGN	??? For now use the same renderer as everyone else ?? ?? IN FUTURE change this to use a new instance of renederer ?? for this data type
WITHOUTCLASSIFICATION	Loop through source records
WITHOUTCLASSIFICATION	Loop through the associations counting the ends with aggregations
WITHOUTCLASSIFICATION	loop until we see the nth separator char
DESIGN	<p>Determines if the FigEdge is currently connected to the correct FigNodes if not the edges is the correct FigNodes set and the edge rerouted <p>Typically this is used when a user has amended from the property panel a relationship from one model element to another and the graph needs to react to that change <p>eg if the participant of an association end is changed <p>Calls a helper method layoutThisToSelf to avoid this edge disappearing if the new source and dest are the same node TODO This method is called far too frequently It should only be called when a specific event is received It seems to be currently called whenever any event is received from the owner return boolean whether or not the update was sucessful 
WITHOUTCLASSIFICATION	lowerBound
DESIGN	A Command uses the information provided from link DefaultCommandReference to execute itself <p> TODO remove IFrameMediator dependency author Timo Stich <tstichuserssourceforgenet> 
WITHOUTCLASSIFICATION	lowerMargin
DESIGN	A dialect delegate for the Progress database TODO Progress specification says that the sum of all column lengths of a table row may not exceed 31960 Need to add an interface method to the HibernateDialect interface that takes an array of lengths and and checks the sum of columns for a row This maximum number may be different across databases so this check method needs to be implemented by each dialect author manningr 
DESIGN	A Dom tree panel for to display response as tree view author <a href=mailtodmaungmdlcom>Dave Maung<a> TODO implement to find any nodes in the tree using TreePath 
WITHOUTCLASSIFICATION	Lowlevel IO 
DESIGN	A hack to make userdefined variables in the testplan element more dynamic
DESIGN	A little hack add each listener to the start of the list this ensures that the thread running the show is the first listener and can modify certain values before other listeners are called 
WITHOUTCLASSIFICATION	LRUMap is not generic
WITHOUTCLASSIFICATION	Lu Ll Lo Nd
DESIGN	a redraw should NOT trigger another change event
WITHOUTCLASSIFICATION	M+ discarded by key event workaround! 
DESIGN	Abstract action to trigger creation of a new diagram <p> ArgoUML shall never create a diagram for a readonly modelelement <p> TODO Bobs says can we merge ActionAddDiagram with this class? author michiel 
WITHOUTCLASSIFICATION	MailFrameMediator frameMediatorregisterTableSelectionListenerthis 
DESIGN	aliasRefNoderesolve false false aliasRefNodegetText TODO is it kosher to do it here? TODO is it kosher to do it here?
WITHOUTCLASSIFICATION	MAIN PANEL
DESIGN	before cascade! TODO should this be SessioninstantiatePersister ?
DESIGN	bit risky if someone changes completor but useful for method calls
WITHOUTCLASSIFICATION	mainPaneladd topBorderPanel BorderLayoutNORTH 
DESIGN	Brooms all the message which y coordinate is upper than the position of the broom TODO Provide a ModeFactory and then this class can become package scope author penyaskito 
DESIGN	Bubble sort Why? In many cases thisranges has few elements
WITHOUTCLASSIFICATION	mainPaneladdthreadPropsPanel BorderLayoutNORTH addmainPanel BorderLayoutCENTER
WITHOUTCLASSIFICATION	Maintain a weak hash set on the type parameter of all referencing generic types 
DESIGN	call the workaround
DESIGN	Can this be factored out? Should be be adding the L
WITHOUTCLASSIFICATION	make a nice little target area
WITHOUTCLASSIFICATION	Make adjustments for some OSs
DESIGN	Command executes the search <p> In case new result results arrive it ensures that all interested listeners are notified from inside the EDT <p> FIXME fdietz No locking of folders currently implemented! TODO fdietz create new Command for every provider to introduce real parallel search author fdietz 
WITHOUTCLASSIFICATION	Make all the parts match the main fig
DESIGN	Copied from Java Doc MatcherreplaceAll Note that backslashes and dollar signs $ in the replacement string may cause the results to be different than if it were being treated as a literal replacement string Dollar signs may be treated as references to captured subsequences as described above and backslashes are used to escape literal characters in the replacement string
WITHOUTCLASSIFICATION	make array of exceptions
WITHOUTCLASSIFICATION	make buttons
DESIGN	copy and paste from RESyntaxMatcher to make syntax package independent of jEdit itself
WITHOUTCLASSIFICATION	make Columba logger parent of macchiato logger
DESIGN	Could we drop the Sync here?
WITHOUTCLASSIFICATION	make final selection
DESIGN	Create an empty but initialized instance of a UML Constraint return an initialized UML Constraint instance TODO This needs an extra parameter to specify the modelextent where the new element should be created 
